,Year,Category,Name,Birthdate,Birth Place,Country,Residence,Role/Affiliate,Field/Language,Prize Name,Motivation
567,1986,physics,Ernst Ruska,25-Dec-06,Heidelberg,Germany,," Fritz-Haber-Institut der Max-Planck-Gesellschaft, Berlin, Federal Republic of Germany"," Electron optics, instrumentation",The Nobel Prize in Physics,"The Nobel Prize in Physics 1986 was divided, one half awarded to Ernst Ruska for his fundamental work in electron optics, and for the design of the first electron microscope,the other half jointly to Gerd Binnig and Heinrich Rohrer for their design of the scanning tunneling microscope."
568,1986,physics,Gerd Binnig,20-Jul-47,Frankfurt-on-the-Main,West Germany,," IBM Zurich Research Laboratory, Rüschlikon, Switzerland"," Condensed matter physics, instrumentation",The Nobel Prize in Physics,"The Nobel Prize in Physics 1986 was divided, one half awarded to Ernst Ruska for his fundamental work in electron optics, and for the design of the first electron microscope,the other half jointly to Gerd Binnig and Heinrich Rohrer for their design of the scanning tunneling microscope."
569,1986,physics,Heinrich Rohrer,6-Jun-33,Buchs,Switzerland,," IBM Zurich Research Laboratory, Rüschlikon, Switzerland"," Condensed matter physics, instrumentation",The Nobel Prize in Physics,"The Nobel Prize in Physics 1986 was divided, one half awarded to Ernst Ruska for his fundamental work in electron optics, and for the design of the first electron microscope,the other half jointly to Gerd Binnig and Heinrich Rohrer for their design of the scanning tunneling microscope."
570,1987,chemistry,Charles J. Pedersen,3-Oct-04,Pusan,Korea,," Du Pont, Wilmington, DE, USA", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1987 was awarded jointly to Donald J. Cram, Jean-Marie Lehn and Charles J. Pedersen for their development and use of molecules with structure-specific interactions of high selectivity."
571,1987,chemistry,Donald J. Cram,22-Apr-19,Chester VT,USA,," University of California, Los Angeles, CA, USA", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1987 was awarded jointly to Donald J. Cram, Jean-Marie Lehn and Charles J. Pedersen for their development and use of molecules with structure-specific interactions of high selectivity."
572,1987,chemistry,Jean-Marie Lehn,30-Sep-39,Rosheim,France,," Université Louis Pasteur, Strasbourg, France, Collège de France, Paris, France", Organic chemistry,The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1987 was awarded jointly to Donald J. Cram, Jean-Marie Lehn and Charles J. Pedersen for their development and use of molecules with structure-specific interactions of high selectivity."
573,1987,economics,Robert M. Solow,23-Aug-24,Brooklyn NY,USA,," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA", Economic growth theory,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1987 was awarded to Robert M. Solow for his contributions to the theory of economic growth.
574,1987,literature,Joseph Brodsky,24-May-40,Leningrad (now Saint Petersburg),USSR (now Russia),USA,, English (prose) and Russian (poetry),The Nobel Prize in Literature,"The Nobel Prize in Literature 1987 was awarded to Joseph Brodsky for an all-embracing authorship, imbued with clarity of thought and poetic intensity."
575,1987,medicine,Susumu Tonegawa,6-Sep-39,Nagoya,Japan,," Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1987 was awarded to Susumu Tonegawa for his discovery of the genetic principle for generation of antibody diversity.
576,1987,peace,Oscar Arias Sánchez,13-Sep-41,Heredia,Costa Rica,Costa Rica, President of Costa Rica, Negotiation,The Nobel Peace Prize,"The Nobel Peace Prize 1987 was awarded to Oscar Arias Sánchez for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year."
577,1987,physics,J. Georg Bednorz,16-May-50,Neuenkirchen,West Germany,," IBM Zurich Research Laboratory, Rüschlikon, Switzerland", Superconductivity,The Nobel Prize in Physics,The Nobel Prize in Physics 1987 was awarded jointly to J. Georg Bednorz and K. Alexander Müller for their important break-through in the discovery of superconductivity in ceramic materials
578,1987,physics,K. Alexander Müller,20-Apr-27,Basel,Switzerland,," IBM Zurich Research Laboratory, Rüschlikon, Switzerland", Superconductivity,The Nobel Prize in Physics,The Nobel Prize in Physics 1987 was awarded jointly to J. Georg Bednorz and K. Alexander Müller for their important break-through in the discovery of superconductivity in ceramic materials
579,1988,chemistry,Hartmut Michel,18-Jul-48,Ludwigsburg,West Germany,," Max-Planck-Institut für Biophysik, Frankfurt-on-the-Main, Federal Republic of Germany"," Biochemistry, structural chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1988 was awarded jointly to Johann Deisenhofer, Robert Huber and Hartmut Michel for the determination of the three-dimensional structure of a photosynthetic reaction centre."
580,1988,chemistry,Johann Deisenhofer,30-Sep-43,Zusamaltheim,Germany,," University of Texas Southwestern Medical Center at Dallas, Dallas, TX, USA, Howard Hughes Medical Institute"," Biochemistry, structural chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1988 was awarded jointly to Johann Deisenhofer, Robert Huber and Hartmut Michel for the determination of the three-dimensional structure of a photosynthetic reaction centre."
581,1988,chemistry,Robert Huber,20-Feb-37,Munich,Germany,," Max-Planck-Institut für Biochemie, Martinsried, Federal Republic of Germany"," Biochemistry, structural chemistry",The Nobel Prize in Chemistry,"The Nobel Prize in Chemistry 1988 was awarded jointly to Johann Deisenhofer, Robert Huber and Hartmut Michel for the determination of the three-dimensional structure of a photosynthetic reaction centre."
582,1988,economics,Maurice Allais,31-May-11,Paris,France,," École Nationale Supérieur des Mines de Paris, Paris, France", Partial and general equilibrium theory,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1988 was awarded to Maurice Allais for his pioneering contributions to the theory of markets and efficient utilization of resources.
583,1988,literature,Naguib Mahfouz,11-Dec-11,Cairo,Egypt,Egypt,, Arabic,The Nobel Prize in Literature,"The Nobel Prize in Literature 1988 was awarded to Naguib Mahfouz who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind."
584,1988,medicine,George H. Hitchings,18-Apr-05,Hoquiam WA,USA,," Wellcome Research Laboratories, Research Triangle Park, NC, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1988 was awarded jointly to Sir James W. Black, Gertrude B. Elion and George H. Hitchings for their discoveries of important principles for drug treatment."
585,1988,medicine,Gertrude B. Elion,23-Jan-18,New York NY,USA,," Wellcome Research Laboratories, Research Triangle Park, NC, USA",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1988 was awarded jointly to Sir James W. Black, Gertrude B. Elion and George H. Hitchings for their discoveries of important principles for drug treatment."
586,1988,medicine,Sir James W. Black,14-Jun-24,Uddingston,Scotland,," London University, King's College Hospital Medical School, London, United Kingdom",,The Nobel Prize in Physiology or Medicine,"The Nobel Prize in Physiology or Medicine 1988 was awarded jointly to Sir James W. Black, Gertrude B. Elion and George H. Hitchings for their discoveries of important principles for drug treatment."
587,1988,peace,United Nations Peacekeeping Forces,1948 in New York,NY,USA,,, World organizing,The Nobel Peace Prize,The Nobel Peace Prize 1988 was awarded to United Nations Peacekeeping Forces.
588,1988,physics,Jack Steinberger,25-May-21,Bad Kissingen,Germany,," CERN, Geneva, Switzerland", Particle physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1988 was awarded jointly to Leon M. Lederman, Melvin Schwartz and Jack Steinberger for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino."
589,1988,physics,Leon M. Lederman,15-Jul-22,New York NY,USA,," Fermi National Accelerator Laboratory, Batavia, IL, USA", Particle physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1988 was awarded jointly to Leon M. Lederman, Melvin Schwartz and Jack Steinberger for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino."
590,1988,physics,Melvin Schwartz,2-Nov-32,New York NY,USA,," Digital Pathways, Inc., Mountain View, CA, USA", Particle physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1988 was awarded jointly to Leon M. Lederman, Melvin Schwartz and Jack Steinberger for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino."
591,1989,chemistry,Sidney Altman,7-May-39,Montreal,Canada,," Yale University, New Haven, CT, USA", Biochemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1989 was awarded jointly to Sidney Altman and Thomas R. Cech for their discovery of catalytic properties of RNA
592,1989,chemistry,Thomas R. Cech,8-Dec-47,Chicago IL,USA,," University of Colorado, Boulder, CO, USA", Biochemistry,The Nobel Prize in Chemistry,The Nobel Prize in Chemistry 1989 was awarded jointly to Sidney Altman and Thomas R. Cech for their discovery of catalytic properties of RNA
593,1989,economics,Trygve Haavelmo,13-Dec-11,Skedsmo,Norway,," University of Oslo, Oslo, Norway", Econometrics,The Prize in Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel 1989 was awarded to Trygve Haavelmo for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures.
594,1989,literature,Camilo José Cela,11-May-16,Iria Flavia,Spain,Spain,, Spanish,The Nobel Prize in Literature,"The Nobel Prize in Literature 1989 was awarded to Camilo José Cela for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability."
595,1989,medicine,Harold E. Varmus,18-Dec-39,Oceanside NY,USA,," University of California School of Medicine, San Francisco, CA, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1989 was awarded jointly to J. Michael Bishop and Harold E. Varmus for their discovery of the cellular origin of retroviral oncogenes
596,1989,medicine,J. Michael Bishop,22-Feb-36,York PA,USA,," University of California School of Medicine, San Francisco, CA, USA",,The Nobel Prize in Physiology or Medicine,The Nobel Prize in Physiology or Medicine 1989 was awarded jointly to J. Michael Bishop and Harold E. Varmus for their discovery of the cellular origin of retroviral oncogenes
597,1989,peace,The 14th Dalai Lama (Tenzin Gyatso),6-Jul-35,Taktser,Tibet,Tibet,, Human rights,The Nobel Peace Prize,The Nobel Peace Prize 1989 was awarded to The 14th Dalai Lama.
598,1989,physics,Hans G. Dehmelt,9-Sep-22,Görlitz,Germany,," University of Washington, Seattle, WA, USA", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1989 was divided, one half awarded to Norman F. Ramsey for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,the other half jointly to Hans G. Dehmelt and Wolfgang Paul for the development of the ion trap technique."
599,1989,physics,Norman F. Ramsey,27-Aug-15,Washington DC,USA,," Harvard University, Cambridge, MA, USA", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1989 was divided, one half awarded to Norman F. Ramsey for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,the other half jointly to Hans G. Dehmelt and Wolfgang Paul for the development of the ion trap technique."
600,1989,physics,Wolfgang Paul,10-Aug-13,Lorenzkirch,Germany,," University of Bonn, Bonn, Federal Republic of Germany", Atomic physics,The Nobel Prize in Physics,"The Nobel Prize in Physics 1989 was divided, one half awarded to Norman F. Ramsey for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,the other half jointly to Hans G. Dehmelt and Wolfgang Paul for the development of the ion trap technique."
